UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_type_encoded,temp_diff,power,thermal_load,wear_rate,torque_speed_stress,thermal_efficiency,wear_per_cycle,tool_wear_normalized,power_normalized,thermal_load_normalized,risk_index
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1,10.5,66382.79999999999,449.4,0.0,0.02759509975760735,1.0352230447761475,0.0,0.0,0.6225565531559222,0.502448054953351,0.33750138243278194
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,10.5,65190.399999999994,486.15,0.002130681803049135,0.03288352249372498,1.0352112328903007,3.0,0.011857707509881422,0.6091608473311944,0.547207268652715,0.35165351779912535
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,10.399999999999977,74001.2,513.7599999999989,0.0033377836893338873,0.032977302850618805,1.034887586887367,2.0,0.01976284584980237,0.708143474704989,0.5808345309721542,0.3945985400430639
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,10.400000000000034,56603.5,410.8000000000013,0.0048848569093869025,0.027564549702968948,1.0348758874957786,2.0,0.02766798418972332,0.5126935659270044,0.4554356563466736,0.3015059603579927
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,10.5,56320.0,420.0,0.006392045409147405,0.0284090907073218,1.0352112328903007,2.0,0.035573122529644265,0.5095086593509307,0.4666406839938597,0.3070740520152948
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1,10.5,59707.5,439.95,0.007719298191443522,0.029403508565589414,1.0352230447761475,2.0,0.043478260869565216,0.547564641807544,0.4909385428592288,0.32894225974785796
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,10.5,66059.2,445.2,0.008985879274801802,0.027214377232256885,1.0352230447761475,3.0,0.05533596837944664,0.618921153621469,0.4973327162448522,0.357010548311675
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,10.5,61385.4,422.1,0.010478061489993048,0.026326129493607537,1.0352230447761475,2.0,0.06324110671936758,0.5664145703577881,0.4691983533481091,0.33598031979951615
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1,10.399999999999977,47676.200000000004,297.4399999999994,0.01079784036713953,0.017156568583343922,1.0348641959482334,2.0,0.07114624505928853,0.41240214978385337,0.3173702287287145,0.24739021157748575
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,1,10.5,48748.0,294.0,0.012062033244905035,0.016082710993206715,1.0351758447177273,3.0,0.08300395256916995,0.4244430064619339,0.31318052273889724,0.2544886397879173
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2,10.5,42589.799999999996,250.95,0.01346801339243539,0.01341189666996691,1.0351876328690472,3.0,0.09486166007905138,0.35526031977136074,0.2607483009767851,0.2227472502560643
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2,10.5,63038.899999999994,465.15,0.020379479828675474,0.031131412290011155,1.0351640644620208,5.0,0.11462450592885375,0.5849903834919608,0.5216305751102213,0.3778360899521961
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1,10.5,68422.90000000001,536.5500000000001,0.02539208345487615,0.03816280778071092,1.0351640644620208,5.0,0.13438735177865613,0.6454755228414536,0.6085913331547002,0.42997499751030854
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,1,10.599999999999966,52260.0,317.999999999999,0.021239953953846417,0.0172215842869025,1.0354989606329885,3.0,0.14624505928853754,0.46389765159481255,0.3424110296446031,0.3003906280872397
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,0,10.599999999999966,39886.0,207.75999999999934,0.01965601955942988,0.009631449584120641,1.0354989606329885,3.0,0.15810276679841895,0.3248851860839243,0.20814556792438885,0.2231503329218615
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,10.599999999999966,74632.8,513.0399999999984,0.027237353908966578,0.03138780783795196,1.0354989606329885,2.0,0.1660079051383399,0.7152390196554235,0.5799576157649824,0.4549621526814577
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1,10.599999999999966,61092.6,493.95999999999844,0.033562166029274094,0.03554538493100393,1.0354989606329885,2.0,0.17391304347826086,0.5631251853649331,0.5567193627749454,0.40551858183326783
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1,10.5,64296.0,478.8,0.033333333096926716,0.03234042530255018,1.0351522920939977,3.0,0.18577075098814227,0.599112944538812,0.5382554259128423,0.4155188115307532
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2,10.399999999999977,71177.0,566.7999999999988,0.03828483891052956,0.04173047441247722,1.0348058555955202,3.0,0.1976284584980237,0.6764157387185779,0.6454339512337669,0.47560629038491287
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1,10.400000000000034,53040.0,338.00000000000114,0.03370098018565576,0.01991421556425113,1.0347942109469987,5.0,0.21739130434782608,0.47266035751840174,0.3667697853993617,0.33878556461445947
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2,10.400000000000034,58712.50000000001,444.08000000000146,0.04218181787504133,0.03105454522869422,1.0347942109469987,3.0,0.2292490118577075,0.5363865746357861,0.4959686259225877,0.4014061649105951
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,0,10.5,64959.99999999999,470.4,0.043448275562425684,0.030896551511058263,1.0351405276057388,5.0,0.24901185770750986,0.6065724788122264,0.5280247484958447,0.43998391127542524
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1,10.400000000000034,48536.7,319.28000000000105,0.04111321922129526,0.019418089693750223,1.0347942109469987,2.0,0.2569169960474308,0.42206921189571034,0.34396999001291007,0.3325785589915584
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,0,10.399999999999977,45180.6,267.2799999999994,0.038680318323775206,0.014618885013544454,1.0347825740875394,3.0,0.26877470355731226,0.3843659845237133,0.28063722505054256,0.30701084429520165
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,1,10.399999999999977,58225.299999999996,387.9199999999991,0.04484304904008297,0.02389493898850135,1.0347825740875394,2.0,0.27667984189723316,0.5309132537050518,0.4275692397632301,0.39821668479937783
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,0,10.5,43361.3,244.65,0.03922622225026211,0.01252015038946722,1.035117022236889,3.0,0.2885375494071146,0.36392753466885963,0.25307529291403696,0.3005158680377148
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,0,10.399999999999977,58968.0,405.5999999999991,0.04960317427511128,0.025793650623057867,1.0347709450093299,2.0,0.2964426877470355,0.5392569225376797,0.4491023798504344,0.41508486581524845
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2,10.299999999999955,44550.600000000006,253.3799999999989,0.042517945651474626,0.013583655363977609,1.0344366086781474,2.0,0.3043478260869565,0.37728841435466054,0.2637078898009866,0.31403802168147676
